SEASON_ID,TEAM_NAME,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,HOME,OPPONENT,PTS_ROLL5,REB_ROLL5,AST_ROLL5,STL_ROLL5,BLK_ROLL5,BACK_TO_BACK
22021,Los Angeles Lakers,2021-10-19,LAL vs. GSW,0,240,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,18,25,114,-7,1,2021-2022,1,GSW,114.0,45.0,21.0,7.0,4.0,0
22021,Los Angeles Lakers,2021-10-22,LAL vs. PHX,0,240,34,86,0.395,15,34,0.441,22,29,0.759,12,34,46,25,7,3,16,26,105,-10,1,2021-2022,1,PHX,109.5,45.5,23.0,7.0,3.5,0
22021,Los Angeles Lakers,2021-10-24,LAL vs. MEM,1,240,45,84,0.536,16,30,0.533,15,22,0.682,9,27,36,29,10,12,17,14,121,3,1,2021-2022,1,MEM,113.33333333333333,42.333333333333336,25.0,8.0,6.333333333333333,0
22021,Los Angeles Lakers,2021-10-26,LAL @ SAS,1,265,50,105,0.476,8,30,0.267,17,22,0.773,9,47,56,20,8,10,13,21,125,4,1,2021-2022,0,SAS,116.25,45.75,23.75,8.0,7.25,0
22021,Los Angeles Lakers,2021-10-27,LAL @ OKC,0,240,46,92,0.5,11,35,0.314,12,14,0.857,10,30,40,29,8,2,17,22,115,-8,1,2021-2022,0,OKC,116.0,44.6,24.8,8.0,6.2,1
22021,Los Angeles Lakers,2021-10-29,LAL vs. CLE,1,240,46,84,0.548,12,27,0.444,9,10,0.9,11,31,42,24,9,6,22,20,113,12,1,2021-2022,1,CLE,115.8,44.0,25.4,8.4,6.6,0
22021,Los Angeles Lakers,2021-10-31,LAL vs. HOU,1,240,39,96,0.406,9,31,0.29,8,13,0.615,10,33,43,22,15,9,14,20,95,10,1,2021-2022,1,HOU,113.8,43.4,24.8,10.0,7.8,0
22021,Los Angeles Lakers,2021-11-02,LAL vs. HOU,1,240,49,93,0.527,6,25,0.24,15,20,0.75,11,32,43,26,10,4,17,19,119,2,1,2021-2022,1,HOU,113.4,44.8,24.2,10.0,6.2,0
22021,Los Angeles Lakers,2021-11-04,LAL vs. OKC,0,240,39,94,0.415,12,33,0.364,14,17,0.824,16,33,49,22,8,5,14,21,104,-3,1,2021-2022,1,OKC,109.2,43.4,24.6,10.0,5.2,0
22021,Los Angeles Lakers,2021-11-06,LAL @ POR,0,240,31,90,0.344,9,32,0.281,19,24,0.792,11,48,59,20,8,5,19,17,90,-15,1,2021-2022,0,POR,104.2,47.2,22.8,10.0,5.8,0
22021,Los Angeles Lakers,2021-11-08,LAL vs. CHA,1,265,44,91,0.484,13,32,0.406,25,35,0.714,8,43,51,30,11,8,15,23,126,3,1,2021-2022,1,CHA,106.8,49.0,24.0,10.4,6.2,0
22021,Los Angeles Lakers,2021-11-10,LAL vs. MIA,1,265,46,92,0.5,18,38,0.474,10,16,0.625,9,41,50,26,5,6,23,27,120,3,1,2021-2022,1,MIA,111.8,50.4,24.8,8.4,5.6,0
22021,Los Angeles Lakers,2021-11-12,LAL vs. MIN,0,240,29,82,0.354,9,41,0.22,16,20,0.8,11,33,44,17,12,8,20,14,83,-24,1,2021-2022,1,MIN,104.6,50.6,23.0,8.8,6.4,0
