GAME_DATE,SEASON,HOME,L_BACK_TO_BACK,L_DAYS_REST,WL,L_PTS_ROLL5,L_REB_ROLL5,L_AST_ROLL5,L_STL_ROLL5,L_BLK_ROLL5,O_PTS_ROLL5,O_REB_ROLL5,O_AST_ROLL5,O_STL_ROLL5,O_BLK_ROLL5,O_BACK_TO_BACK,O_DAYS_REST
2021-10-19,2021-22,1,0,999,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,999
2021-10-22,2021-22,1,0,3,L,114.0,45.0,21.0,7.0,4.0,98.0,45.0,23.0,9.0,3.0,0,2
2021-10-24,2021-22,1,0,2,W,109.5,45.5,23.0,7.0,3.5,126.0,50.5,27.0,6.5,5.5,1,1
2021-10-26,2021-22,0,0,2,W,113.33333333333333,42.333333333333336,25.0,8.0,6.333333333333333,110.0,40.0,28.333333333333332,9.666666666666666,3.0,0,3
2021-10-27,2021-22,0,1,1,L,116.25,45.75,23.75,8.0,7.25,94.5,43.25,21.0,7.25,3.25,1,1
2021-10-29,2021-22,1,0,2,W,116.0,44.6,24.8,8.0,6.2,105.0,46.4,25.0,7.6,4.4,0,2
2021-10-31,2021-22,1,0,2,W,115.8,44.0,25.4,8.4,6.6,104.8,45.0,21.8,9.4,4.6,0,3
2021-11-02,2021-22,1,0,2,W,113.8,43.4,24.8,10.0,7.8,100.6,47.8,21.2,8.4,4.6,0,2
2021-11-04,2021-22,1,0,2,L,113.4,44.8,24.2,10.0,6.2,100.0,44.4,19.0,8.0,4.4,0,3
2021-11-06,2021-22,0,0,2,L,109.2,43.4,24.6,10.0,5.2,108.2,47.2,24.6,7.2,4.6,1,1
2021-11-08,2021-22,1,0,2,W,104.2,47.2,22.8,10.0,5.8,108.6,42.2,26.0,9.4,5.4,1,1
2021-11-10,2021-22,1,0,2,W,106.8,49.0,24.0,10.4,6.2,109.2,42.6,25.2,6.4,2.2,0,2
2021-11-12,2021-22,1,0,2,L,111.8,50.4,24.8,8.4,5.6,104.8,42.6,23.6,8.4,4.4,0,2
2021-11-14,2021-22,1,0,2,W,104.6,50.6,23.0,8.8,6.4,109.8,43.6,28.2,8.8,6.6,0,2
2021-11-15,2021-22,1,1,1,L,106.6,50.0,24.2,8.4,6.4,106.6,46.2,20.8,8.4,2.8,1,1
2021-11-17,2021-22,0,0,2,L,109.2,46.8,24.0,8.8,6.4,107.4,44.0,22.8,7.6,3.8,0,3
2021-11-19,2021-22,0,0,2,L,104.4,46.2,22.8,8.2,5.6,102.4,46.4,22.0,7.6,4.6,0,2
2021-11-21,2021-22,0,0,2,W,102.0,42.8,21.6,8.2,5.6,102.2,40.2,22.4,9.6,5.0,0,2
2021-11-23,2021-22,0,0,2,L,109.6,44.2,24.0,7.2,5.6,99.0,44.6,21.0,6.0,7.0,0,2
2021-11-24,2021-22,0,1,1,W,106.8,45.0,23.0,7.6,5.2,102.2,46.0,20.8,7.8,7.6,0,2
2021-11-26,2021-22,1,0,2,L,111.0,46.8,23.2,6.6,5.0,102.0,42.8,18.4,6.2,3.2,0,2
2021-11-28,2021-22,1,0,2,W,118.0,47.4,24.8,6.8,5.4,99.8,41.0,20.6,8.0,3.8,0,2
2021-11-30,2021-22,0,0,2,W,118.4,49.2,27.2,8.0,5.8,113.2,46.4,21.4,6.4,4.2,0,2
2021-12-03,2021-22,1,0,3,L,117.6,48.4,25.6,8.6,5.4,104.0,46.4,22.6,6.4,3.6,0,2
2021-12-07,2021-22,1,0,4,W,120.6,47.0,26.6,8.6,5.4,112.0,45.2,22.2,5.6,5.8,0,3
2021-12-09,2021-22,0,0,2,L,119.2,46.8,27.6,9.0,5.4,109.6,49.2,25.6,12.8,6.6,1,1
2021-12-10,2021-22,0,1,1,W,110.8,45.6,26.4,8.8,5.4,100.4,37.2,19.2,8.6,7.0,0,2
2021-12-12,2021-22,1,0,2,W,112.0,46.6,24.6,9.0,4.4,110.6,42.0,23.6,6.0,4.8,1,1
2021-12-15,2021-22,0,0,3,W,109.8,46.0,25.2,9.4,5.4,103.8,45.4,23.2,5.4,4.6,0,2
2021-12-17,2021-22,0,0,2,L,108.2,46.6,24.4,9.4,5.2,112.0,41.6,22.4,9.2,4.0,0,2
2021-12-19,2021-22,0,0,2,L,103.2,43.6,24.6,9.2,5.8,104.6,42.4,22.8,5.8,6.2,0,8
2021-12-21,2021-22,1,0,2,L,106.2,43.8,24.4,8.8,6.2,114.4,49.4,27.4,7.0,4.4,0,2
2021-12-23,2021-22,1,0,2,L,101.0,43.8,22.6,8.2,6.2,117.0,49.2,29.2,8.4,4.8,0,3
2021-12-25,2021-22,1,0,2,L,101.8,44.6,22.0,6.6,5.2,113.4,48.6,25.4,7.2,5.8,0,7
2021-12-28,2021-22,0,0,3,W,103.4,44.8,23.0,6.6,5.8,109.0,41.2,22.6,7.4,5.0,1,1
2021-12-29,2021-22,0,1,1,L,111.4,47.2,23.2,7.0,5.6,108.8,45.8,23.8,10.6,5.0,0,2
2021-12-31,2021-22,1,0,2,W,109.2,45.8,23.0,6.8,5.0,109.8,40.2,20.8,6.6,5.4,0,2
2022-01-02,2021-22,1,0,2,W,119.0,45.8,25.6,6.2,6.2,104.4,44.4,26.0,6.6,6.0,0,2
2022-01-04,2021-22,1,0,2,W,118.6,41.8,25.4,8.0,6.0,105.0,41.0,24.8,5.0,5.2,0,2
2022-01-07,2021-22,1,0,3,W,120.0,41.2,24.4,7.6,6.0,119.0,42.6,24.4,6.2,3.6,0,2
2022-01-09,2021-22,1,0,2,L,120.4,41.0,26.4,8.8,5.6,117.4,56.2,26.0,8.2,8.8,1,1
2022-01-12,2021-22,0,0,3,L,124.4,41.4,26.8,9.0,6.0,104.6,45.6,21.4,6.4,3.0,0,2
2022-01-15,2021-22,0,0,3,L,119.8,41.0,26.4,9.0,4.8,110.8,46.4,29.2,5.0,3.6,0,2
2022-01-17,2021-22,1,0,2,W,117.4,43.6,26.6,7.2,4.4,110.6,40.4,20.6,6.6,3.6,1,1
2022-01-19,2021-22,1,0,2,L,113.2,43.8,24.8,7.4,4.4,110.0,41.0,25.8,8.4,5.8,0,2
2022-01-21,2021-22,0,0,2,W,107.2,42.4,22.0,5.4,5.0,102.4,44.4,25.2,7.0,4.8,0,2
2022-01-23,2021-22,0,0,2,L,106.6,43.2,21.4,6.6,4.4,107.6,41.0,25.6,9.4,4.8,0,2
2022-01-25,2021-22,0,0,2,W,104.8,41.8,20.4,6.8,4.0,117.6,43.2,26.2,5.6,3.8,0,2
2022-01-27,2021-22,0,0,2,L,106.8,40.2,20.8,8.4,5.2,110.8,44.2,22.2,6.4,5.0,0,2
2022-01-28,2021-22,0,1,1,L,104.0,39.6,21.6,8.4,6.0,118.8,47.2,29.2,7.2,4.8,0,2
2022-01-30,2021-22,0,0,2,L,106.0,40.4,20.8,9.0,5.2,117.2,42.2,26.6,8.2,5.8,0,2
2022-02-02,2021-22,1,0,3,W,107.0,39.0,22.0,7.6,4.8,108.2,39.8,22.8,5.8,3.2,0,2
2022-02-03,2021-22,0,1,1,L,105.4,42.0,23.0,7.8,6.0,114.4,47.0,23.6,7.0,4.0,0,3
2022-02-05,2021-22,1,0,2,W,106.2,44.2,22.2,6.6,5.4,104.2,45.8,22.8,8.4,4.8,0,3
2022-02-08,2021-22,1,0,3,L,113.2,47.2,24.2,6.8,5.0,121.8,43.4,28.0,7.8,3.2,0,2
2022-02-09,2021-22,0,1,1,L,113.6,46.6,26.0,6.8,5.6,94.2,47.4,21.0,8.0,4.8,1,1
2022-02-12,2021-22,0,0,3,L,110.4,46.6,26.0,7.2,6.6,111.8,39.8,26.2,9.0,3.4,0,2
2022-02-16,2021-22,1,0,4,W,113.6,45.6,26.0,6.6,6.4,119.6,50.8,26.8,7.4,6.0,0,2
2022-02-25,2021-22,1,0,9,L,112.8,45.6,27.0,7.2,6.6,112.2,42.4,26.4,9.0,4.6,0,8
2022-02-27,2021-22,1,0,2,L,108.8,43.6,24.8,7.2,6.6,115.6,45.6,24.2,6.0,4.0,0,2
2022-03-01,2021-22,1,0,2,L,104.6,43.0,22.2,7.4,6.8,109.0,39.0,19.8,5.6,4.2,0,2
2022-03-03,2021-22,0,0,2,L,104.4,42.8,20.8,7.6,6.6,111.0,51.4,25.4,8.4,8.4,0,2
2022-03-05,2021-22,1,0,2,W,103.6,40.4,21.0,8.2,6.2,115.2,40.8,28.2,11.2,4.4,0,2
2022-03-07,2021-22,0,0,2,L,107.2,41.0,21.2,8.4,6.0,124.0,45.0,30.8,7.8,3.6,0,2
2022-03-09,2021-22,0,0,2,L,108.8,40.2,21.4,8.2,5.2,111.4,40.2,23.6,7.2,4.8,0,2
2022-03-11,2021-22,1,0,2,W,115.8,42.2,23.4,8.6,5.2,111.6,40.4,28.8,6.4,5.8,0,2
2022-03-13,2021-22,0,0,2,L,119.4,42.2,24.0,8.0,4.6,112.4,41.4,27.6,7.4,5.2,0,2
2022-03-14,2021-22,1,1,1,L,119.4,42.4,23.6,7.2,4.2,111.2,48.8,19.6,9.0,4.4,0,2
2022-03-16,2021-22,0,0,2,L,115.2,41.6,22.6,6.6,4.4,125.6,47.6,25.6,9.6,5.4,0,2
2022-03-18,2021-22,0,0,2,W,114.0,40.6,23.4,6.6,4.6,116.0,50.4,19.4,8.6,4.2,0,2
2022-03-19,2021-22,0,1,1,L,113.6,39.6,25.0,5.8,4.0,109.0,40.6,24.0,5.8,5.8,1,1
2022-03-21,2021-22,0,0,2,W,113.0,40.4,25.0,5.4,3.6,111.4,43.6,26.2,8.2,4.0,0,2
2022-03-23,2021-22,1,0,2,L,117.0,41.2,27.0,6.0,3.8,108.0,42.0,23.8,7.2,4.2,0,2
2022-03-27,2021-22,0,0,4,L,120.6,41.6,28.0,5.8,3.0,114.6,48.8,23.0,9.6,4.4,1,1
2022-03-29,2021-22,0,0,2,L,121.4,41.8,28.6,5.4,2.6,107.4,44.6,22.2,5.0,3.0,0,2
2022-03-31,2021-22,0,0,2,L,117.8,42.8,26.0,5.6,2.2,103.8,37.8,20.4,6.6,3.2,0,2
2022-04-01,2021-22,1,1,1,L,115.8,42.6,24.6,6.0,2.6,113.0,42.6,24.0,9.8,4.8,0,2
2022-04-03,2021-22,1,0,2,L,111.8,42.4,22.6,6.6,2.2,122.2,44.4,31.6,7.2,3.2,0,2
